Bandit,Reward,Algorithm
3,4.557935644618756,ThompsonSamplingBandit
3,4.265648157774423,ThompsonSamplingBandit
3,6.187613752720761,ThompsonSamplingBandit
3,1.773124646048295,ThompsonSamplingBandit
3,4.935422075290792,ThompsonSamplingBandit
3,3.9904886801526134,ThompsonSamplingBandit
3,2.501501679874451,ThompsonSamplingBandit
3,4.170038087785256,ThompsonSamplingBandit
3,3.2240522656903425,ThompsonSamplingBandit
3,5.226288817491707,ThompsonSamplingBandit
3,4.617866967389874,ThompsonSamplingBandit
3,2.6482007754882924,ThompsonSamplingBandit
3,4.042720485072929,ThompsonSamplingBandit
3,4.183362161925938,ThompsonSamplingBandit
3,1.9468431796523298,ThompsonSamplingBandit
3,3.046640231098777,ThompsonSamplingBandit
3,2.9969198235170493,ThompsonSamplingBandit
3,3.9398455676577635,ThompsonSamplingBandit
3,3.93756847321197,ThompsonSamplingBandit
3,2.6524292465935444,ThompsonSamplingBandit
3,4.968655301218582,ThompsonSamplingBandit
3,4.084231936772885,ThompsonSamplingBandit
3,5.900646444304115,ThompsonSamplingBandit
3,5.784860006437524,ThompsonSamplingBandit
3,4.5341782511818005,ThompsonSamplingBandit
3,3.567280570483295,ThompsonSamplingBandit
3,3.3056506958347223,ThompsonSamplingBandit
3,2.5191934529087154,ThompsonSamplingBandit
3,3.6258278254738703,ThompsonSamplingBandit
3,3.9663014373227856,ThompsonSamplingBandit
3,4.127480271164721,ThompsonSamplingBandit
3,4.14631210124758,ThompsonSamplingBandit
3,4.555196468794799,ThompsonSamplingBandit
3,4.142868717236281,ThompsonSamplingBandit
3,4.159867344509899,ThompsonSamplingBandit
3,1.894834990758011,ThompsonSamplingBandit
3,5.2872327733058375,ThompsonSamplingBandit
3,3.7525268932281226,ThompsonSamplingBandit
3,5.070355782288874,ThompsonSamplingBandit
3,3.973329854280537,ThompsonSamplingBandit
3,2.8789593493364336,ThompsonSamplingBandit
3,4.528093420081009,ThompsonSamplingBandit
3,2.703480072095,ThompsonSamplingBandit
3,1.9666360227498192,ThompsonSamplingBandit
3,4.926824138899225,ThompsonSamplingBandit
3,5.159035185967131,ThompsonSamplingBandit
3,5.142383104778794,ThompsonSamplingBandit
3,4.986935470075749,ThompsonSamplingBandit
3,5.273869166168754,ThompsonSamplingBandit
3,4.906362603752464,ThompsonSamplingBandit
3,4.0456504429593085,ThompsonSamplingBandit
3,4.112416745318021,ThompsonSamplingBandit
3,4.830129527648767,ThompsonSamplingBandit
3,2.6697803961183855,ThompsonSamplingBandit
3,5.434354307907806,ThompsonSamplingBandit
3,5.1796666402956575,ThompsonSamplingBandit
3,5.041038935321376,ThompsonSamplingBandit
3,5.144629373202084,ThompsonSamplingBandit
3,3.8482728585623045,ThompsonSamplingBandit
3,4.129131354969436,ThompsonSamplingBandit
3,3.661363665268116,ThompsonSamplingBandit
3,2.8328159817716543,ThompsonSamplingBandit
3,3.8351022882602113,ThompsonSamplingBandit
3,5.029169482522474,ThompsonSamplingBandit
3,4.808258961328942,ThompsonSamplingBandit
3,5.061068921139826,ThompsonSamplingBandit
3,3.644496062525377,ThompsonSamplingBandit
3,2.789358098045551,ThompsonSamplingBandit
